id,norm_pair,class
102740,(v) Hershey will invoice Topps for the Packaged Products produced by Hershey at the time of shipment of such Packaged Products to Topps.,(v) Hershey will not invoice Topps for the Packaged Products produced by Hershey at the time of shipment of such Packaged Products to Topps.,1
77958,"Ligand shall solely control the implementation of any such recall, field alert, withdrawal or field correction.","Ligand shall not solely control the implementation of any such recall, field alert, withdrawal or field correction.",1
187995,Nephros must order for delivery in any given Quarter an aggregate quantity of Cartridge not exceeding 110% of the Final Forecast Quantity.,Nephros may order for delivery in any given Quarter an aggregate quantity of Cartridge not exceeding 110% of the Final Forecast Quantity.,1
176178,"Any disputes or disagreements arising from this Agreement shall initially be referred jointly to such appointees, who shall in good faith attempt to resolve such disputes promptly and within the spirit of this Agreement.",6.2 RIGHT TO PURCHASE AND SELL.,0
139708,Purchaser shall also be responsible for all property taxes on the equipment.,Purchaser may also be responsible for all property taxes on the equipment.,1
112237,Interest will accrue on any amount remaining unpaid at the end of such 30 day period at the rate of 1% per month unless Topps has notified Hershey of its good faith dispute of any invoiced item.,"(e) The rights and obligations of either party hereunder may not be assigned, transferred or encumbered without the prior written consent of the other party.",0
139709,"7UP/RC shall charge Purchaser and Purchaser shall pay for Product as specified in Exhibit A, unless 7UP/RC and Purchaser agree in writing to a different price.","7UP/RC shall not charge Purchaser and Purchaser shall not pay for Product as specified in Exhibit A, unless 7UP/RC and Purchaser agree in writing to a different price.",1
99082,Buyer may EXHIBIT 10.24 GOODS AGREEMENT cancel or reschedule the delivery date or change the delivery point as specified in the relevant SOW.,Buyer shall not EXHIBIT 10.24 GOODS AGREEMENT cancel or reschedule the delivery date or change the delivery point as specified in the relevant SOW.,1
186230,"Lessee will not modify or consent to any modification of the terms of this Lease, assign this Lease, or sublet or move any item of Equipment without the prior written consent of Lessor and its assignee, if any.","Ltd., a Singapore private limited company (""Foamtec""), either or both of which may also hereinafter be referred to respectively as the ""Party"" or ""Parties"" to this Agreement.",0
42699,"1.46 ""REQUIRED CHANGE COSTS"" shall have the meaning assigned to such term in Section 3.2(c).","In the event that (i) Cubist materially breaches any of its obligations under this Supply Agreement, (ii) such material breach is the effective cause for Chiron not being able to obtain or maintain Regulatory Approval to sell Finished Products in one or more countries in the Territory, and (iii) Chiron terminates this Supply Agreement pursuant to Section 11.4(e) only with respect to such country or countries but not all of the countries in the Territory, then Chiron shall be entitled to exercise its rights under Section 11.6(c), PROVIDED that, prior to exercising such rights, Chiron shall have given at least thirty (30) days prior written notice to Cubist that Chiron intends to exercise its backup supply rights under Section 11.6(c) and identifies the country or countries within the Territory as to which Chiron intents to exercise such backup supply rights.",0
188770,Medica will also be given first consideration in good faith for the manufacture of Cartridges not directly marketed by Nephros.,All notices to be given by a Medica Entity may be given on its behalf by the other Medica Entity following consultation between Medica.,0
188000,Nephros may revise in any subsequent Rolling Forecast the forecast for any other month in any Rolling Forecast.,Nephros may not revise in any subsequent Rolling Forecast the forecast for any other month in any Rolling Forecast.,1
139702,"If requested by Purchaser, 7UP/RC shall provide Purchaser with suitable evidence establishing that a cost increase did occur.","If requested by Purchaser, 7UP/RC shall not provide Purchaser with suitable evidence establishing that a cost increase did occur.",1
143371,"Notwithstanding the foregoing, Cinram will have no right to use the Content Software for or on behalf of any Third Party.","Notwithstanding the foregoing, Cinram may use the Content Software for or on behalf of any Third Party.",1
152691,"CoPacker may not use any of such trademarks or trade names, except as WWI authorizes in writing.","CoPacker may use any of such trademarks or trade names, except as WWI authorizes in writing.",1
8,USF agrees regular deliveries will not be made between the hours of 11:00 am and 2:00 pm with the exception of recoveries and offcycles.,USF agrees regular deliveries may be made between the hours of 11:00 am and 2:00 pm with the exception of recoveries and offcycles.,1
168883,(d) AMFS shall sell and deliver such finished products to HewlettPackard and such other customers at the same prices as are determined in accordance with Section 2.3(c) and Section 3.3(b).,(d) AMFS may sell and deliver such finished products to HewlettPackard and such other customers at the same prices as are determined in accordance with Section 2.3(c) and Section 3.3(b).,1
78832,"1.8 ""Change Order"" shall have the meaning set forth in Section 4.5(a).","Cardinal Health shall timely fill each Purchase Order, subject to the terms and conditions of this Agreement.",0
70802,"Chiron shall be responsible for reporting to Regulatory Authorities in the Territory any adverse experience and safety issues for Licensed Products in compliance with the requirements of the applicable laws, rules and regulations, and shall promptly thereafter provide to Cubist a copy of such report.","In the event that Chiron is at or near the end of the terms of the contracts for supply of Licensed Product with Third Parties (subsequent to having exercised its backup supply rights herein) or in the event that, prior to the end of the term of any such contracts, Chiron is no longer contractually obligated to source all or any portion of Chiron's requirements for API and/or any Filled Product under any such contracts, then Chiron will notify Cubist thereof and thereafter, Cubist, to the extent that it remains so interested, shall be included among the interested contract manufacturers and suppliers with whom Chiron holds discussions for the supply of all or any portion of Chiron's requirements for API and/or such Filled Product.",0
171288,"""INDEMNIFIED PARTY"" shall have the meaning set forth in Section 11.2.",Any assignment or sublease effected by Lessee without such consent shall be void and shall not relieve Lessee of any of its obligations or liabilities hereunder nor confer any rights upon the intended assignee.,0
178075,"In the event: (a) a receiver, liquidator, assignee, custodian, trustee, conservator, sequestrator (or other similar official) shall take possession of a Party or any substantial part of its property without its consent, or a court having jurisdiction in the premises shall enter a decree or order for relief in respect of a Party in an involuntary case under any applicable bankruptcy, insolvency, moratorium or other similar law now or hereafter in effect, or appointing a receiver, liquidator, assignee, custodian, trustee, conservator, sequestrator (or other similar official) of such Party or for any substantial part of its property, or ordering the windingup or liquidation of its affairs and such decree or order shall remain unstayed and in effect for a period of 30 consecutive days; or (b) a Party shall commence a voluntary case under any applicable bankruptcy, insolvency, moratorium or other similar law now or hereafter in effect, or shall consent to the entry of an order for relief in an involuntary case under any such law, or shall consent to the appointment of or taking possession by a receiver, liquidator, assignee, trustee, custodian, conservator, sequestrator (or other similar official) of such Party or of any substantial part of its property, or shall make any general assignment for the benefit of creditors, or shall take any corporate action in furtherance of any of the foregoing; or (c) a Party shall admit in writing its inability to pay its debts as they mature; or (d) a Party shall give notice to any governmental body of insolvency or pending insolvency, or suspension or pending suspension of operations; or (e) any Party fails to perform any of its obligations or covenants or breaches any of its representations under this Agreement or pursuant to the agreements attached as Exhibits hereto (an ""Event of Default""), then the other Party (the ""Nondefaulting Party"") shall have the right to give such party (the ""Defaulting Party"") a notice of default (""Notice of Default"").",CONTINUING OBLIGATIONS.,0
188002,"(b) Medica shall file, prosecute and maintain patent applications and resulting patents, if any, on Medica Inventions or on any Joint Inventions relating to manufacture of the Cartridge.","(b) Medica shall not file, prosecute and maintain patent applications and resulting patents, if any, on Medica Inventions or on any Joint Inventions relating to manufacture of the Cartridge.",1
16841,"If the Sponsor chooses to have CBSI dispose of the materials, a reasonable disposal fee will be charged.","DEFAULT a) If CBSI is in default of its material obligations under this Agreement, then Sponsor shall promptly notify CBSI in writing of any such default.",0
159028,Celgene shall have the right to defend and/or settle any such claim and JMI shall give Celgene such information and assistance as may be reasonably necessary in the conduct of such defense.,Celgene shall not have the right to defend and/or settle any such claim and JMI shall not give Celgene such information and assistance as may be reasonably necessary in the conduct of such defense.,1
53501,"Cubist shall conduct or have conducted stability studies on API and Filled Products as required by Regulatory Authorities and, in any case, on at least one Lot of each Filled Product from each site where such Filled Product is manufactured, in each case at least once per year following the first Commercial Launch of such Filled Product in the Territory.","If Cubist has agreed or a laboratory selected pursuant to Section 5.4(d) has determined that the rejected product is a Defective Manufactured Product, the replacement Filled Product shall be supplied at Cubist's sole cost.",0
205196,(f) Medica is the rightful owner or licensee of any Intellectual Property that it may use in performing its obligations under this agreement.,"(a) In order to be entitled to indemnification under this Article 11 in connection with a claim made by any Person against any other Person with respect to which that other Person (an ""Indemnified Party"") is entitled to indemnification pursuant to this Article 11 (any such claim, a ""Third Party Claim""), that Indemnified Party must do the following: (1) notify the Person or Persons obligated to indemnify it (the ""Indemnifying Party"") in writing, and in reasonable detail, of that Third Party Claim as soon as possible but in any event within 10 Business Days after receipt of notice of that Third Party Claim, except that any failure to give any such notification will only affect the Indemnifying Party's obligation to indemnify the Indemnified Party if the Indemnifying Party has been prejudiced as a result of that failure; and (2) deliver to the Indemnifying Party as soon as possible but in any event within 10 Business Days after the Indemnified Party receives a copy of all notices and documents (including court papers) delivered to that Indemnified Party relating to that Third Party Claim.",0
23430,"AorTech will return materials to suppliers for credit, less restocking fees, when appropriate.","AorTech may return materials to suppliers for credit, less restocking fees, when appropriate.",1
77959,Ligand shall submit each Purchase Order to Cardinal Health at least one hundred and twenty (120) days in advance of the earliest Delivery Date requested in the Purchase Order.,Ligand may submit each Purchase Order to Cardinal Health at least one hundred and twenty (120) days in advance of the earliest Delivery Date requested in the Purchase Order.,1
82433,"During the Term, Cardinal Health shall Manufacture and Package the Products in accordance with the Specifications, the Applicable Laws and the terms and conditions of this Agreement.","In the absence of such indication, the Delivery Date(s) shall be deemed accepted.",0
85625,Cardinal Health shall communicate to Ligand within three (3) business days of the end of each month the quantities (raw material and inprocess) of API in inventory.,Each insurance policy that is required under this Section shall be obtained from an insurance carrier with an A.M. Best rating of at least A VII.,0
187999,"Medica shall also maintain records with respect to its costs, obligations, and performance under this agreement.","Medica shall not also maintain records with respect to its costs, obligations, and performance under this agreement.",1
11338,CBSI will retain the originals in its archives.,CBSI may retain the originals in its archives.,1
89457,"Ligand will specify whether Ligand will observe the Manufacturing, Packaging, or both.","Cardinal Health shall respond promptly to any request made by Ligand for a change in the Specifications, and both parties shall use commercially reasonable, good faith efforts to agree to the terms of such change in a timely manner.",0
77953,"Ligand shall solely control the implementation of any such recall, field alert, withdrawal or field correction.","Ligand shall not solely control the implementation of any such recall, field alert, withdrawal or field correction.",1
191509,"(e) Medica shall acknowledge and accept in writing (by fax, email, or other means of correspondence, tbd) on behalf of Medica any purchase order that Nephros places for Cartridges.","If the terms of any purchase order are inconsistent with the terms of this agreement, the terms of this agreement will control.",0
159027,"In March 2001, Celgene shall provide a firm order for Material for July through September, 2001 and a revised forecast for the months October, 2001 through June, 2002.","In March 2001, Celgene shall not provide a firm order for Material for July through September, 2001 and a revised forecast for the months October, 2001 through June, 2002.",1
83892,The suppliers will be specified in the Specifications.,"In the event payment is not received by Cardinal Health on or before the fortyfifth (45th) day after the date of the invoice, then such unpaid amount shall accrue interest each month at the rate of one percent (1%) per month until paid in full.",0
152698,"Notwithstanding anything contained herein to the contrary, WWI shall not be required to purchase any minimum quantity of the Products.","Notwithstanding anything contained herein to the contrary, WWI may be required to purchase any minimum quantity of the Products.",1
59332,"Each month after the month in which Chiron's Initial Forecast specified in Section 4.1 is submitted, Chiron shall submit to Cubist a written forecast of the quantities of Filled Products it expects to purchase from Cubist during the succeeding [*], and each month thereafter, Chiron will provide Cubist with an update of such forecast (the ""ROLLING FORECAST"").","Chiron shall use reasonable efforts to furnish to Cubist, (i) within [*] of receipt, a copy of any report or correspondence issued by such governmental authority in connection with such inquiry, notification or inspection and (ii) at least [*] prior to the time they are to be provided to a governmental authority, copies of any and all proposed responses or explanations relating to items set forth above, in each case purged only of trade secrets or other confidential or proprietary information of Chiron that are unrelated to its obligations under this Supply Agreement, Filled Products or Finished Products.",0
187996,Medica may not reject any purchase order that complies with the provisions of this Article 3.,Medica may reject any purchase order that complies with the provisions of this Article 3.,1
7,The price of product to Customer shall equal USF's invoice cost (as hereinafter defined) plus the agreed upon fee per case on cost as outlined below.,The price of product to Customer may equal USF's invoice cost (as hereinafter defined) plus the agreed upon fee per case on cost as outlined below.,1
148737,All invoices and other charges payable hereunder will be paid solely in United States Dollars.,Cinram will use commercially reasonable efforts to promptly notify MP3.com in writing if any of its vendors fails to contact Cinram prior to delivery.,0
116119,"(f) All orders will be loaded by Hershey for shipping, in truckload quantities unless otherwise indicated by Topps, to any location within the 48 contiguous states of the United States designated by Topps, by a means of transportation selected by Topps.","Topps represents, warrants and guarantees that no intellectual property which it may provide, and no name or mark or aspect of the trade dress used on the Packaging, or in any other way made a part of the Packaging, shall infringe upon or violate any copyright, patent, trade secret, trade name, trademark or any other proprietary rights, or other utility patent rights, of any person not a party to this Agreement, or violate any laws, rules or regulations prohibiting deceptive or other forms of advertising.",0
204948,"Each party is responsible for filing, prosecuting, and maintaining patent applications and resulting patents on any invention owned solely by it.","Upon the occurrence of an Event of Force Majeure, the party failing or delaying performance shall promptly notify the other party in writing, setting forth the nature of the occurrence, its expected duration, and how that party's performance is affected.",0
72280,"For the purposes of this Supply Agreement, ""Manufacturing Cost"" shall mean the actual cost of manufacturing Licensed Product, consisting of (i) [*] and (ii) [*]; all such costs determined and allocated in accordance with United States' generally accepted accounting principles, and the determination of Manufacturing Cost shall at all times be subject to audit pursuant to Section 11.1 of the License Agreement.","In the event that Chiron exercises its backup supply rights in accordance with the provisions of this Section 11.6, Chiron shall use Commercially Reasonable Efforts to minimize the length of time that it is contractually obligated to source API and/or Filled Product from a supplier other than Cubist and to minimize the applicable transfer price that Chiron agrees to pay to such supplier other than Cubist in connection with API and/or units of Filled Product supplied by such supplier.",0
77960,"Ligand shall provide or approve, prior to the procurement of applicable components, all artwork, advertising and packaging information necessary to Manufacture or Package the Product.","Ligand shall not provide or approve, prior to the procurement of applicable components, all artwork, advertising and packaging information necessary to Manufacture or Package the Product.",1
0,"Customer shall make weekly payments via wire transfer on the following Thursday, for the sales of","Customer shall not make weekly payments via wire transfer on the following Thursday, for the sales of the Applicable Sales Period that ended approximately oneweek prior.",1
159033,JMI shall have the right to participate in such defense at its cost.,JMI may have the right to participate in such defense at its cost.,1
139706,"In the event that such recall results from any cause or event arising from defective manufacture of the Product by 7UP/RC, 7UP/RC shall be responsible for all expenses of the recall.","In the event that such recall results from any cause or event arising from defective manufacture of the Product by 7UP/RC, 7UP/RC shall not be responsible for all expenses of the recall.",1
10,"Customer shall be primarily responsible for all financial obligations hereunder, irrespective of the entity to which Customer may direct that products be delivered.","Customer must not be primarily responsible for all financial obligations hereunder, irrespective of the entity to which Customer may direct that products be delivered.",1
1,Customer will be responsible for restocking charges or freight cost incurred in connection with Dead Inventory.,Customer may be responsible for restocking charges or freight cost incurred in connection with Dead Inventory.,1
19649,Sponsor shall not indemnify the CBSI Group from any Loss from any claim described in clause (iv) hereof arising solely from the willful misconduct or inaction of CBSI.,"CBSI will manufacture utilizing in process control tests to meet the specifications for purity, identity and safety.",0
75674,"Upon receipt of debt owed, the Company will then release all Ingredients and Packaging Materials to the Customer.","Upon receipt of debt owed, the Company shall not then release all Ingredients and Packaging Materials to the Customer.",1
188004,Medica shall maintain all records necessary to evidence compliance with all applicable Laws and other requirements of applicable Governmental Authorities relating to the manufacture of the Cartridge.,Medica may maintain all records necessary to evidence compliance with all applicable Laws and other requirements of applicable Governmental Authorities relating to the manufacture of the Cartridge.,1
71166,"(a) The Parties shall exchange their internal standard operating procedures (""SOPS"") as to product recalls and the treatment of product complaints and inquiries as to safety, quality or efficacy reasonably in advance of the date of Commercial Launch of any Licensed Product in the Territory.","If and to the extent that Chiron needs to submit and make available any Cubist KnowHow or other Information concerning the manufacturing of API, Filled Products and/or Finished Products in connection with any submission by Chiron of any application for Regulatory Approvals of Finished Products within the Territory and the applicable regulatory requirements shall not permit the submission of such Cubist KnowHow or other Information via a Drug Master File, then the Parties agree that such Cubist KnowHow and other Information shall be made available to Chiron for the sole purpose of filing applications for Regulatory Approvals of Finished Products in the Territory and obtaining such Regulatory Approvals, and that Chiron shall not be entitled to use such Cubist KnowHow or other Information for any other purpose whatsoever other than to manufacture or have manufactured API, Filled Products and/or Finished Products.",0
159155,"TERM AND EXCLUSIVITY 2.1 Term This Agreement shall commence on the Effective Date and shall expire on March 31, 2006; provided, however, that this Agreement shall terminate on June 10, 2005, in the event that Celgene is no longer supplying product using dmethylphenidate hydrochloride to Novartis Pharmaceuticals Corporation, or its affiliates, licensees, successors or assigns (""NPC""), beyond such earlier termination date.",JMI agrees to promptly notify Celgene in writing of all claims and threatened claims against JMI for which JMI may be entitled to indemnity hereunder.,0
188001,"(a) Nephros may reject any Cartridge that does not meet the Specifications or otherwise comply with this agreement (any such Cartridge, a ""Nonconforming Cartridge"").","(a) Nephros may not reject any Cartridge that does not meet the Specifications or otherwise comply with this agreement (any such Cartridge, a ""Nonconforming Cartridge"").",1
23184,CBSI will retain the originals in its archives.,CBSI will use its best judgement to establish a manufacturing strategy in consultation with EntreMed.,0
121807,"Hershey shall indemnify, defend and hold harmless Topps from and against any and all claims, demands, suits, judgments, costs and expenses, including, without limitation, reasonable attorneys' fees, resulting from or arising out of any breach or violation of any 13 representation, warranty or guarantee of Hershey in this paragraph 5(b).","Except as expressly set forth in the two previous sentences, this Agreement shall in no way limit the damages that may be awarded by any court or tribunal.",0
5085,USF shall issue a receipt to Customer for any goods picked up for return to ensure that Customer receives a proper credit therefore.,"The USF website is intended to provide Customer with real time visibility to Customer's standard Order Guide, the ability to order online, information on outstanding orders and historical information on past purchases.",0
108371,"(b) For the period from January 1, 1998 through December 31, 1998, Hershey shall sell the Packaged Product to Topps at the price listed on Schedule D1998, F.O.B.","Hershey will provide Topps with a certificate or certificates of insurance evidencing such coverage and such other evidence as Topps may reasonably request to insure that the insurer is required to cover Topps, as an additional insured, for the deductible portion as well.",0
179275,"The termination of this Agreement for any reason shall neither release either Party hereto from any liabilities, obligations or agreements which, pursuant to any provisions of this Agreement, are to survive or be performed after such termination nor shall it release either Party hereto from its liability to pay any sums of money accrued, due, and payable to the other Party or to discharge its thenaccrued and unfulfilled obligations.","Notwithstanding the foregoing, in the event of any such contravention AMFS may at its option terminate this Agreement forthwith by giving to Foamtec written notice of termination.",0
38690,"1.31 ""MANUFACTURING COST"" shall have the meaning assigned to such term in Section 7.1(b).","(a) The Parties shall exchange their internal standard operating procedures (""SOPS"") as to product recalls and the treatment of product complaints and inquiries as to safety, quality or efficacy reasonably in advance of the date of Commercial Launch of any Licensed Product in the Territory.",0
188005,f) Medica will serve as the Authorized Representative for Complaint and Vigilance handling and reporting for Nephros a.,f) Medica shall not serve as the Authorized Representative for Complaint and Vigilance handling and reporting for Nephros a.,1
27585,"6.5 Novoste B.V. shall pay AorTech $5,000 (United States currency) per month for use of a class 100,000 cleanroom dedicated exclusively to manufacture the Product.",15.0 NOTICES 15.1 Any notices required or permitted to be given pursuant to this Agreement shall be sufficient if delivered either by personal delivery or by registered post.,0
162440,"CoPacker shall manufacture the Products at its processing facilities at Irwindale and Los Angeles, California or at such other facility as WWI and CoPacker shall mutually agree (the ""Factory"").","CoPacker shall manufacture the Products at its processing facilities at Irwindale and Los Angeles, Califronia or at such other facility as WWI and CoPacker may not mutually agree (the ""Factory"").",1
102741,Hershey will cooperate in no shipping procedures.,Hershey will cooperate in all shipping procedures.,1
183683,All rent shall be charged as a cost of Lessor in accordance with Section 3.2(c) of the Manufacturing Agreement.,"3.2 AMFS does not make any representation to Foamtec regarding the scope or enforceability of the Technical Information, and does not warrant that any Products manufactured or sold under this Agreement will not infringe patents of others.",0
139705,"Purchaser shall not purchase the equipment specified in Exhibit B (the ""Equipment') at its sole cost and expense.","Purchaser shall purchase the equipment specified in Exhibit B (the ""Equipment') at its sole cost and expense.",1
162439,CoPacker may furnish to WWI insufficient information to verify shipment of the Products.,CoPacker shall furnish to WWI sufficient information to verify shipment of the Products.,1
16545,"b) Sponsor will have title to all Materials, raw data, documentation, records, protocols, specimens and other reports generated as a result of this Program.",This Agreement may be executed in one or more counterparts each of which shall be deemed an original but all of which together shall constitute one and the same instrument.,0
11336,Sponsor shall use best efforts to respond in writing to such Change Order promptly.,Sponsor must not use best efforts to respond in writing to such Change Order promptly.,1
48504,The Parties shall work expeditiously to agree upon such Specifications so as to permit Chiron to have adequate stocks of Conforming Product on hand in advance of the anticipated Commercial Launch in the Territory.,"Cubist shall promptly notify Chiron if for any reason Cubist may not meet Chiron's forecasted requirements of Filled Products, and promptly convene a meeting of the JCT to discuss the shortage.",0
7686,The price structure for this Agreement on the following product categories shall be: &lt;TABLE&gt; &lt;CAPTION&gt; CATEGORY FEE PER CASE &lt;S&gt; &lt;C&gt; [***] $[***] flat [***] $[***] flat [***] $[***] flat &lt;/TABLE&gt; Exceptions to Above Equipment and supply shall be handled as a separate contract.,d. Attorney's Fees.,0
205102,"(c) Medica's Chief Executive Officer, or Amministratore Unico (AU), has duly authorized Medica to execute and deliver this agreement and perform its obligations under this agreement, and no other corporate proceedings of Medica are necessary with respect thereto.","(a) This agreement may be terminated as follows: (1) by Nephros upon 10 Business Days' written notice to Medica if any representation made in this agreement by Medica was materially inaccurate when made and either (1) that inaccuracy has contributed to Nephros's incurring Indemnifiable Losses or (2) Medica fails to take action to render the inaccurate representation accurate as if it were made on the day Nephros would otherwise be entitled to terminate this agreement under this Section 13.2(a)(l); (2) by Medica upon 10 Business Days' written notice to Nephros if any representation made in this agreement by Nephros was materially inaccurate when made and either (1) that inaccuracy has contributed to either or both Medica Entities' incurring Indemnifiable Losses or (2) Nephros fails to take action to render the inaccurate representation accurate as if it were made on the day Medica would otherwise be entitled to terminate this agreement pursuant to this Section 13.2(a)(2); (3) by Nephros immediately if Medica has breached any of its material obligations under this agreement and, if it is curable, has not cured that breach prior to expiration of a 45BusinessDay period from the date of breach; (4) by Medica immediately if Nephros has breached any of its material obligations under this agreement and, if it is curable, has not cured that breach prior to expiration of a 45BusinessDay period from the date of breach; (5) by Nephros immediately if there occurs an Event of Insolvency with respect to Medica; (6) by Medica immediately if there occurs an Event of Insolvency with respect to Nephros; (7) by Nephros, if for any reason other than an Event of Force Majeure Medica fails to deliver within 40 days after the required delivery date, or on more than two occasions in any 90day period fails to deliver within 20 Business Days after the required delivery day, any shipment of Cartridge it is required to deliver pursuant to Section 3.2, Section 4.2, or Section 9.3; (8) by Medica or Nephros on 15 Business Days' prior written notice to Nephros or Medica, respectively, if due to an Event of Force Majeure (A) Nephros or 17 (B) Medica or both of them, respectively, is prevented from performing an obligation under this agreement for more than 60 days, unless prior to the end of the 15BusinessDay period the Event of Force Majeure ceases to exist and the party prevented from performing resumes performance under this agreement and notifies the party giving the notice of termination; (b) The parties may terminate this agreement at any time by written agreement.",0
112740,"If Topps does so commit and meets the 4 million pound level, the notice of termination shall be void and this Agreement shall remain in full force and effect.","Hershey shall be responsible for the normal and customary day to day maintenance and repair of Topps Equipment at its expense as necessary to keep Topps Equipment in good working order but not to exceed the condition in which Hershey received the machinery provided, however, that Topps shall pay for all rebuilds of Topps Equipment necessary in Hershey's reasonable opinion to maintain the operation or performance of the equipment or any other capital improvements to the Topps Equipment made with Topps' prior written consent.",0
188006,"Medica shall also maintain, consistent with the manufacturer's recommendations, an inventory of spare parts of all equipment they use to manufacture the Cartridge.","Medica may also maintain, consistent with the manufacturer's recommendations, an inventory of spare parts of all equipment they use to manufacture the Cartridge.",1
188003,"Medica 3 will invoice all deliveries for European customers to Nephros Europe, which will also provide the payment.","Medica 3 will not invoice all deliveries for European customers to Nephros Europe, which will also provide the payment.",1
130161,All payments shall be stated and paid in United States Dollars.,"(a) Except in the case of a breach of Section 5, any claim, dispute, or controversy arising out of or relating to this Agreement that is not resolved in accordance with the provisions of Section 9.1 will be submitted by the parties to arbitration by the London Court of International Arbitration (LCIA) under the rules then in effect for the LCIA, as modified herein or by agreement of the parties.",0
77962,"Cardinal Health shall timely fill each Purchase Order, subject to the terms and conditions of this Agreement.","Cardinal Health may timely fill each Purchase Order, subject to the terms and conditions of this Agreement.",1
75670,The Company will make available to the Customer 48 x 40 fourway hardwood pallets in quantities sufficient to store and ship all Finished Case Goods at a cost of $___ each.,The Company may make available to the Customer 48 x 40 fourway hardwood pallets in quantities sufficient to store and ship all Finished Case Goods at a cost of $___ each.,1
196590,"If Nephros does not notify Medica that one or more Cartridges do not meet the Specifications or otherwise fail to comply with this agreement, those Cartridges will be deemed to have been accepted by Nephros as being fully compliant with the Specifications and this agreement.","Nephros shall supply to Medica, for use by Medica in performing its obligations under this agreement, the equipment listed in Schedule 5.6.",0
188007,"Nephros shall pay all freight, insurance, duties, and other fees (except tax on income to Medica) incurred in connection with sale and shipment of Cartridges under this agreement.","Nephros shall not pay all freight, insurance, duties, and other fees (except tax on income to Medica) incurred in connection with sale and shipment of Cartridges under this agreement.",1
163587,"This Agreement may, at the option of WWI, be renewed for an additional one (1) year period, and successive one (1) year periods thereafter, by providing written notice to CoPacker of such election to renew at least one hundred eighty (180) days prior to expiration of the Term or any renewal term thereof.","Before commencement of any production under this Agreement and from time to time thereafter upon the expiration of any such certificate of insurance, CoPacker shall furnish WWI with a certificate of insurance evidencing the above coverages.",0
187998,"(b) Nephros shall at its cost obtain and maintain productliability insurance coverage in the amount of $5,000,000 in relation to the Cartridge.","(b) Nephros may at its cost obtain and maintain productliability insurance coverage in the amount of $5,000,000 in relation to the Cartridge.",1
139714,Purchaser shall also be financially responsible for all taxes and freight in connection with the New Equipment.,Purchaser may also be financially responsible for all taxes and freight in connection with the New Equipment.,1
205148,"(e) Medica is not required to obtain the Consent of any Person, including the Consent of any party to any Contract to which it is a party, in connection with execution and delivery of this agreement and performance of its obligations under this agreement.","Whether or not the Indemnifying Party has assumed the defense of a Third Party Claim, the Indemnified Party shall not admit any liability with respect to, or settle, compromise or discharge, that Third Party Claim without the Indemnifying Party's prior written consent.",0
187994,Nephros and Medica shall at the time of each report determine jointly the actions to be taken with respect to these findings.,Nephros and Medica may at the time of each report determine jointly the actions to be taken with respect to these findings.,1
152695,Copacker shall be the exclusive supplier of the Products within the continental United States of America during the term of this Agreement.,Copacker may be the exclusive supplier of the Products within the continental United States of America during the term of this Agreement.,1
52457,None of such additional capital costs or such other expenses of manufacturing that Chiron shall be required to pay pursuant to this Section 3.2(b) [*] pursuant to this Supply Agreement for Filled Product.,"To the extent that Chiron needs to submit and make available any Manufacturing Information in connection with obtaining Regulatory Approval in the Territory, the Parties agree that, to the fullest extent permissible under applicable law, rules and regulations, such Manufacturing Information shall be made available to the applicable Regulatory Authorities * CONFIDENTIAL TREATMENT REQUESTED: MATERIAL HAS BEEN OMITTED AND FILED WITH THE COMMISSION 18 in the Territory via a Drug Master File appropriately formatted for the country in which such DMF is filed and [*] (i.e.",0
3,Customer will notify USF at least [***] days in advance of special promotions that may cause unusual or excessive demand on inventory.,Customer may notify USF at least [***] days in advance of special promotions that may cause unusual or excessive demand on inventory.,1
56807,Cubist shall retain samples from each Lot for a period of at least one (1) year after the expiration date of such Lot.,The provisions of Articles 5 and 8 and Section 3.4 shall survive the expiration or termination of this Supply Agreement to the extent applicable to binding Purchase Orders that are outstanding at the time of such expiration or termination.,0
177616,"At any time following the third anniversary of the date hereof, Foamtec shall have the right, exercisable from time to time by written notice to AMFS, to purchase the interest of AMFS under this Agreement at a price calculated as the present value, discounted at the average over the prior three months of the prime rate as announced from time to time by Wells Fargo Bank, N.A.","The terms and conditions of this Lease shall prevail notwithstanding any variance therein from the terms and conditions of any other document relating to this transaction, whether prepared and submitted by Lessor or by Lessee.",0
139707,"7UP/RC shall charge Purchaser and Purchaser shall pay for Product as specified in Exhibit A, unless 7UP/RC and Purchaser agree in writing to a different price.","7UP/RC may charge Purchaser and Purchaser shall pay for Product as specified in Exhibit A, unless 7UP/RC and Purchaser agree in writing to a different price.",1
152688,CoPacker shall reimburse WWI in full for the quantity of the Products rejected and returned.,CoPacker may reimburse WWI in full for the quantity of the Products rejected and returned.,1
75672,"2 4.3 The Company shall supply the Ingredients and Packaging Materials set forth in Schedule ""A"" or as mutually agreed to by the Company and the Customer.","2 4.3 The Company shall not supply the Ingredients and Packaging Materials set forth in Schedule ""A"" or as mutually agreed to by the Company and the Customer.",1
152690,CoPacker shall deliver all the Products that WWI purchases under this Agreement to WWI F.O.B.,CoPacker may deliver all the Products that WWI purchases under this Agreement to WWI F.O.B.,1
